tweet_id	tweet_date	tweet_text
837181669446725632	2017-03-02 06:03:58	Heathrow approval puts business above political and #environment issues https://t.co/PPvo78di2F
837181615256256512	2017-03-02 06:03:45	Business on Day 2 of the Seminar on #SDGs will start shortly. The 1st session is on 'Ensuring good health &amp; well being for all through SDGs'
837181551876136960	2017-03-02 06:03:30	#Water #Koch #Environment - https://t.co/2eDrl4qp9a Companies that do a lot of good! #pollution #purification https://t.co/J6lhhm9dSF
837181547639795712	2017-03-02 06:03:29	#zerodiscrimination for people who use #drugs and people in prisons: #HIV services for All. #Humanrights #EndAIDS #LeavingNoOneBehind #SDGs https://t.co/p8FpvEEKfa
837181533022715904	2017-03-02 06:03:26	Madness: Scientists Just Confirmed The Hottest Day In Antarctica: 65F / 17.5C https://t.co/uwroBfQRGv #climatechange https://t.co/zQNTSGGN8F
837181531508604929	2017-03-02 06:03:25	The last time humans experienced atmospheric CO2 levels as high as they are now was... never. Humans didn't exist. #climate #climatechange https://t.co/Cm6Iy2BdaF
837181527201103872	2017-03-02 06:03:24	Sydney's Swelter Has a Climate Change Link, Scientists Say #ClimateChange https://t.co/17UdFT6S9C
837181514563502080	2017-03-02 06:03:21	https://t.co/AByE3ZQo4s Children's Climate Lawsuit Aims to Unearth Documents from Oil Group API #climate #law #judiciary https://t.co/IGsBpkdtFo
837181503050252288	2017-03-02 06:03:19	Can't be there personally, join the live stream of Global Festival Ideas #GFI4SD now. @UNCCD supports innovative ideas for achieving #SDGs https://t.co/rQ6FGIm4u7
837181491402653696	2017-03-02 06:03:16	Brainwashing students with #globalist propaganda is the only way to keep the #GlobalWarming scam going.
837181467704737792	2017-03-02 06:03:10	It's 64 degrees in Antarctica. Yes, that is an all-time record. #ClimateChange #ClimateAction https://t.co/CwaE3xUfDJ
837181335206776832	2017-03-02 06:02:39	It's 64 degrees in Antarctica. Yes, that is an all-time record. #ClimateChange #ClimateAction https://t.co/CwaE3xUfDJ
837181325920595968	2017-03-02 06:02:36	‘Shell knew’: oil giant's 1991 film warned of #climatechange danger: https://t.co/dJxGPmjNR4 #cdnpoli #abpoli #divest #ShellKnewToo https://t.co/0wUb9Y6UDs
837181276373200897	2017-03-02 06:02:25	This news comes as an iceberg the size of Delaware is about to break off Antarctica: https://t.co/O8WZppAJo4 #climatechange #wednesdaywisdom https://t.co/l5ir3ZwSl7
837181260359323648	2017-03-02 06:02:21	Early morning run! #Goal3 #SDG3 #HealthyNotHungry #GlobalGoals #SDGs #Canberra https://t.co/gt1qotCX9I
837181226897137664	2017-03-02 06:02:13	https://t.co/3gmM7LdWRC USF students voting on whether to divest from fossil fuels #climate #investing #florida https://t.co/sXDr1g5cb0
837181212464660481	2017-03-02 06:02:09	#sustainabledevelopment #environment #climatechange #foodwaste #Zerohunger #Children #foodlovers #donate #crowdfunding #Recycle #love https://t.co/5q4B2otKpL
837181078943195137	2017-03-02 06:01:37	Antarctica hits record high temperature at balmy 63.5°F #climatechange #ClimateChangeIsReal https://t.co/CPRIxjof8c via @Reuters
