,social_issues,politics_and_renewables,progressive_politics,food_agriculture,political_ecology,radical_chic,sustainable_industry
836950441044889600,0.001249971551359065,0.0013586991149560975,0.0008406900163354842,0.0008840920920872634,0.0003477473421718757,0.00101198296957726,0.001016222240555917
836950445000114177,0.0009322380144269298,0.00020799162580743407,0.00027607054822457544,0.00015949907633067695,0.0001985948557081449,0.00011275519883234248,0.00014514792947975397
836950447269228544,0.0003961876814614738,8.838787912861076e-05,0.00011731440588027669,6.777845272812453e-05,8.438821256566111e-05,4.7911801539877456e-05,6.1675689464222e-05
836950449857179648,0.0006320740204473493,0.0009711035334518563,0.0018494808508314013,0.001195162748888086,0.000908509257647949,0.0012460471869591104,0.0007278204208489152
836950452457590785,0.00019177761137278325,0.0003098955160284227,0.0016131239396719827,0.0003018345706829624,0.0003272749966461443,0.0008423078647936572,0.0002053786587220552
836950454001152000,0.0015727611029609696,0.00017468036949434867,0.0001440108122357788,0.00011423104034415325,8.234733229094314e-05,8.328408108625353e-05,5.317048712158855e-05
836950458619084801,8.614795124040002e-05,0.0001541227541277827,0.0002708747989614347,0.0002724763812927982,0.00020443561218820867,0.008076526445845196,0.00017796369945725042
836950463115317249,0.007398454669755559,0.0005135061103875493,0.0020614383187774945,0.0001248382237720196,0.0010878809641930746,0.0007964130204864342,0.00027771292988402395
836950470589558785,0.0009513732925033367,0.000854947245113674,0.0011417044054120417,0.0005472689121351934,0.0016956991493077152,0.0004467681706834523,0.00234701466371705
836950471411712000,0.0002021569815292909,0.00018167045750805495,0.0002426021649128101,0.00011628941628169981,0.0003603229487940659,9.493133461850309e-05,0.0004987307755220585
836950472850345984,0.0002021569815292909,0.00018167045750805495,0.0002426021649128101,0.00011628941628169981,0.0003603229487940659,9.493133461850309e-05,0.0004987307755220585
836950475261915136,0.00013926268975497248,0.0006345566935803112,0.0008323843301262386,6.078164175247182e-05,0.00026837418601226233,0.00019629145650982232,5.6644581261011994e-05
836950485475065860,0.0013555569136456233,0.004197730361713902,0.0013657850429130405,0.002112806160619386,0.003907828931266906,0.002766140307152954,0.008747833892828068
836950486330802180,0.000886060614629982,0.0010418216907809954,0.000512062143483329,0.0005591510396522674,0.0008681926710013814,0.013383656641454189,0.0013409347797358482
836950487526227968,0.00023016129699419824,0.000140459571568826,0.0003744921894690993,8.098680297083651e-05,0.0001110973350881228,0.00011206045669796781,0.0010486753544381425
836950495625363457,6.519844664805839e-05,3.978739747473567e-05,0.00010608897446480228,2.2935786382733026e-05,3.145719344232424e-05,3.174043875737995e-05,0.00029710905309028585
836950509588201472,0.0008629540188772541,4.18367734260334e-05,0.00028554649261505646,5.238201977919512e-05,0.003716441632406207,0.00158147023670069,5.473744945821415e-05
836950521567137793,0.000886060614629982,0.0010418216907809954,0.000512062143483329,0.0005591510396522674,0.0008681926710013814,0.013383656641454189,0.0013409347797358482
836950533743263745,0.0011597269274610039,0.0009671484060315899,0.0009348833532873616,0.0008210997532317035,0.000907028784430983,0.0003823266667889028,0.0009214242757784154
836950545621467141,0.0003285699367706463,0.000274009493814204,0.00026486074179151245,0.00023262904047572798,0.0002569672074886967,0.00010830911251642007,0.00026104528571705934
836950556207951874,0.0005632994593178939,0.0007429882185451655,0.00037072764083166096,0.00043056769871940273,0.0011510701911883697,0.001912635771390269,0.000876506659567472
836950566144208898,0.00022250711451836443,0.0002934943735722819,0.0001464343225104516,0.00017007381631073444,0.0004546950353331315,0.0007555518118591667,0.0003462301560035846
836950568782417923,0.0006387664513771541,0.0005671664528805751,0.00027731050156026024,0.000343837876021146,0.0008746348893411718,0.0008204499822704728,0.0004462484790978731
836950575069736961,0.00018096978628137948,0.00016068759418350328,7.855720844231603e-05,9.741196287329368e-05,0.00024779768909952653,0.00023245071361306497,0.00012642291819520607
836950585526071300,0.0008097974398875979,0.000564598994153732,0.0007480367975011808,0.0004743904044724994,0.0007865033580500856,0.0005003230776159155,0.0004939987947650509
