,politics_and_renewables,nature,food_agriculture,developement_goals,endangered_habitats,innovation,vegan
974757629233913861,0.0005655205558866924,0.0003801690328582242,0.0004200577925584185,0.001390757361188533,0.0016572604161763061,0.0012341917872094091,0.0012985117674466286
974757635579883522,0.00023476995316153856,0.00018996389027636014,0.0002430086944241769,0.0004695754879604738,0.00043517075885191736,0.0002603476474893876,0.0006992547364426293
974757697005473792,0.00023476995316153856,0.00018996389027636014,0.0002430086944241769,0.0004695754879604738,0.00043517075885191736,0.0002603476474893876,0.0006992547364426293
974757725312835584,0.001423922009662126,0.0008680877207117843,0.0011444028823792381,0.0012738424966599186,0.0012504122748540894,0.0013943960156321796,0.0007822606632228035
974757734884302848,0.0003021403362224079,0.00018415114893078453,0.00024314836323446534,0.0002704089375972016,0.0002652355688250541,0.0002959668372848909,0.00016557023138045007
974757776609210370,0.0003021403362224079,0.00018415114893078453,0.00024314836323446534,0.0002704089375972016,0.0002652355688250541,0.0002959668372848909,0.00016557023138045007
974757815305850882,0.0005905570537568052,0.0004970348909665584,0.0002516273853176454,0.0015756189195488945,0.0005257350479839013,0.0005750945252453384,0.000558453074284745
974757839381172224,0.00016645090804552664,0.00013938178973749054,7.12362947398623e-05,0.0004451392460039984,0.00014810845200655088,0.00016181887938471486,0.0001566298651949092
974757859832614913,0.00016645090804552664,0.00013938178973749054,7.12362947398623e-05,0.0004451392460039984,0.00014810845200655088,0.00016181887938471486,0.0001566298651949092
974757884885159941,0.0009390761473352409,0.008439373425335999,0.0007828881359387388,0.02490359356073545,0.0006601353258807557,0.0005288508268135411,0.0006912671136701812
974757910793342976,0.0003182346486990545,0.0028679112928997213,0.000266073003637066,0.008464565823803605,0.0002239956986081664,0.0001787990374978658,0.00023296049057759243
974757940908445698,0.0003182346486990545,0.0028679112928997213,0.000266073003637066,0.008464565823803605,0.0002239956986081664,0.0001787990374978658,0.00023296049057759243
974757957018660865,0.0004014696508882708,0.00027005485520954705,0.000667216385404335,0.005736723090461781,0.0003600970497729782,0.00031808429251968924,0.00026719581030487205
974758056914403328,0.0013648814640124258,0.0003904889920456799,0.000349387747855597,0.00023932525260207007,0.00394019124533414,0.0001962127650888772,0.0002701253487841634
974758093568528386,0.006830968640293687,0.007415038779524733,0.006788832930296786,0.007251795115544891,0.00530435034143511,0.006216443128581935,0.0056551630068469114
