created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Wed Jun 27 21:04:11 +0000 2018,1012079165573615616,"RT @UN_Spokesperson: From peace and security to development to human rights, greater inclusion is the key to our success - @antonioguterres…",False,,,,0,,,,en
Wed Jun 27 19:35:07 +0000 2018,1012056753444356096,"This teacher is empowering girls in Nigeria to help them challenge some of the barriers they face like patriarchy &amp; early marriage: 
https://t.co/K5ArdT2Ebl",True,,,,123,,,,en
Wed Jun 27 19:10:27 +0000 2018,1012050545400479746,RT @phumzileunwomen: UNWomen appreciates Senators and members of Congress  Who continue to fight for women’s rights thanks to UN staff. htt…,False,,,,0,,,,en
Wed Jun 27 19:09:50 +0000 2018,1012050389921947649,RT @unwomenalbania: Today we launched 2 publications: a National Index on “Obstacles to Women Participation in Elections” w/ @UniofOxford &amp;…,False,,,,0,,,,en
Wed Jun 27 18:47:32 +0000 2018,1012044778744270848,"RT @WHO: Families shouldn't have to choose between spending on health or on other necessities, such as food and education.
https://t.co/pbg…",False,,,,0,,,,en
Wed Jun 27 17:24:47 +0000 2018,1012023952175255556,@ColombiaONU @UN @UN_PGA @AmbAlyaAlThani Congratulations to all who worked on #HERStory. We stand with you in celebrating the women leaders in the @UN. Thank you for recognizing &amp; including UN Women's contributions. https://t.co/bjnhwUSyIa,True,,,,1,,1.0120061773314499e+18,246538620.0,en
Wed Jun 27 16:35:17 +0000 2018,1012011495314673664,"We talked to @AMVirolainen, Minister for Trade &amp; Intl Development of Finland, about benefits of making gender equality a top priority for a government: https://t.co/cdKxDH6bSj https://t.co/R9kZXa4WaY",True,,,,14,,,,en
Wed Jun 27 15:57:27 +0000 2018,1012001974026371072,RT @unwomenindia: #MujheHaqHai brings women 🧕👮‍♀️👩‍💻👩‍🎓👩‍🍳👩‍🔬👩‍🌾 from all fields &amp; from all parts of #India 🇮🇳together to spread the messag…,False,,,,0,,,,en
Wed Jun 27 15:40:25 +0000 2018,1011997688987111424,RT @unwomenarabic: Our latest report analyzes how the #IslamicState used gendered messaging to attract and control women. See the report he…,False,,,,0,,,,en
Wed Jun 27 13:35:10 +0000 2018,1011966166666039296,"If you’re in NYC &amp; want to see comedy used as a powerful tool against gender stereotypes, come to @unwomenasia's event on #ComedyForEquality, featuring stand-up from the brilliant @aparnapkin! https://t.co/CbSiqOC2vN https://t.co/xlw47Y3zVa",True,,,,10,,,,en
Wed Jun 27 12:52:16 +0000 2018,1011955372507136001,"The span of my hips, 
The stride of my step, 
The curl of my lips. 
I'm a woman
Phenomenally.

- @DrMayaAngelou, whose words always inspire us in our fight for equal rights. #NationalWritingDay https://t.co/52CVPJq9q9",True,,,,606,,,,en
Wed Jun 27 10:35:06 +0000 2018,1011920853196558342,"When women are empowered to contribute to their societies, they help curb the rising tide of extremism. Here's an example from Bangladesh:
https://t.co/Cy6RVfYvNa",True,,,,207,,,,en
Wed Jun 27 07:35:05 +0000 2018,1011875551714447360,"Resilient and empowered, South Sudanese refugee women find new beginnings in Uganda through UN Women-supported therapy groups:  https://t.co/sOJJmdhEXD https://t.co/FWhVhFPCCc",True,,,,35,,,,en
Wed Jun 27 04:35:05 +0000 2018,1011830249791815682,"Inspired by #MeToo &amp; #TimesUp, activists in fYR Macedonia kicked off a new social movement against sexual harassment: #СегаКажувам. Check it out: https://t.co/pQQLgxXhjU https://t.co/oSumQw7kWP",True,,,,64,,,,en
Wed Jun 27 02:35:04 +0000 2018,1011800049767125000,"Thank you @FinlandUN for making gender equality Finland’s top priority in foreign &amp; development policy!

Find out more from @AMVirolainen, Minister for Trade and International Development of Finland: https://t.co/snGAJGFVCd https://t.co/h1hBF9AZrp",True,,,,47,,,,en
Wed Jun 27 01:06:00 +0000 2018,1011777634173407234,"Across the world, young women are building peace. Like @Malala, Lita, and Nadia. We stand with them. Will you join us? https://t.co/x8xAXfnnQs",True,,,,128,,,,en
Wed Jun 27 00:00:16 +0000 2018,1011761093474226179,"Join us this Thursday for #ComedyForEquality: harnessing the power of laughter for empowerment and peace, ft. videos from @EastIndiaComedy &amp; @cameoproject_ &amp; stand-up from the brilliant @aparnapkin. https://t.co/RAChhou4yC cc @unwomenasia https://t.co/zY34AK8U5C",True,,,,15,,,,en
Tue Jun 26 22:54:55 +0000 2018,1011744647125880834,"Following the #JusticeForNoura campaign, a Sudanese court has overturned the death sentence for teenager Noura Hussein, who killed her husband after he raped her, says @CNN: https://t.co/rzKNbM3Aws",True,,,,94,,,,en
Tue Jun 26 22:35:05 +0000 2018,1011739655396626433,"Papiya Parvin wanted to start her own business &amp; break the stereotypes of her patriarchal society. So she bought a 🐄 to start her own farm: 
https://t.co/Cy6RVfYvNa",True,,,,39,,,,en
Tue Jun 26 21:32:22 +0000 2018,1011723870334832641,RT @JahaENDFGM: This is what a child bride looks like. I was fifteen and couldn’t imagine being a wife. Let’s try and end Child Marriage. P…,False,,,,0,,,,en
Tue Jun 26 20:37:36 +0000 2018,1011710086757183488,"“We the peoples…reaffirm faith…in the equal rights of men and women”

The @UN Charter, signed #OnThisDay in 1945, enshrines gender equality. #CharterDay https://t.co/oVk9Cys3Um https://t.co/nuKicyEV6g",True,,,,57,,,,en
Tue Jun 26 20:36:32 +0000 2018,1011709821345779712,RT @UNOCHA: Meet some of the amazing women who at a moment's notice are #readytogo to the frontlines of a humanitarian crisis 👉 https://t.c…,False,,,,0,,,,en
Tue Jun 26 19:56:57 +0000 2018,1011699858368016388,"After Nadege’s husband died, her community forced her to have sex with a man they selected &amp; made her live in isolation.

She fought for a life of dignity with @UNTrustFundEVAW's help: https://t.co/6USTcjlO9r https://t.co/AxZ5uV9qJF",True,,,,25,,,,en
Tue Jun 26 18:54:37 +0000 2018,1011684173780791296,"RT @BillieJeanKing: Sports are a microcosm of society. Men, we need you to advocate as much for women as you do for other men. When more me…",False,,,,0,,,,en
Tue Jun 26 18:53:59 +0000 2018,1011684014573449216,"RT @unwomenasia: Blaming sexual violence on women’s clothing is too easy. Rather than focus on her, let’s turn our attention to perpetrator…",False,,,,0,,,,en
Tue Jun 26 18:52:43 +0000 2018,1011683693600169984,"RT @Refugees: “I want to show that we are contributing, we are giving back, just like them. We aren’t a burden.”

After seeking asylum in B…",False,,,,0,,,,en
Tue Jun 26 18:05:14 +0000 2018,1011671744447418368,"Drug abuse affects all societies, but the impacts are different for women &amp; men.

On #WorldDrugDay, take a look at @UNODC's guidelines on drug prevention &amp; treatment: https://t.co/tmHufhbry3 https://t.co/xCZuk8542v",True,,,,22,,,,en
Tue Jun 26 18:00:10 +0000 2018,1011670471388090373,RT @phumzileunwomen: Men have an important role to play in the gender equality conversation. Are you a #HeForShe? https://t.co/GCD5pT81KR h…,False,,,,0,,,,en
Tue Jun 26 17:59:34 +0000 2018,1011670316647698434,RT @unwomenafrica: ‘Human trafficking has the face of the woman says @NaciriMohammad . Watch the full interview on discussions around human…,False,,,,0,,,,en
Tue Jun 26 17:39:55 +0000 2018,1011665374016917505,RT @UNDPClimate: See how Hoi An’s Women’s Union created a long-term waste management plan aiming to clean up the 75 tonnes of solid waste g…,False,,,,0,,,,en
Tue Jun 26 16:35:10 +0000 2018,1011649078797758464,"Empowered women = More peaceful societies
https://t.co/pKpCWbMm5w",False,,,,126,,,,en
Tue Jun 26 15:20:21 +0000 2018,1011630248398671874,"RT @unwomenasia: I'm not hoping to change everyone’s mind, that is impossible. But I do hope that it's a conversation starter, it's somethi…",False,,,,0,,,,en
Tue Jun 26 15:19:59 +0000 2018,1011630158636339205,RT @WorldBank: No society can achieve its potential without the full and equal participation of women and men.  -@JimYongKim https://t.co/Y…,False,,,,0,,,,en
Tue Jun 26 15:15:18 +0000 2018,1011628980456316928,"For a 🌎 free of drug abuse, let's step up efforts to #ListenFirst to children &amp; youth to prevent drug use &amp; tackle 💊-related dependence.

Find out more from @UNODC on #WorldDrugDay: https://t.co/4slaHMbdVp https://t.co/UKjn7YGZen",True,,,,49,,,,en
Tue Jun 26 13:35:09 +0000 2018,1011603777001000962,"As the world comes together to support the #WorldCup, take a look at how we held the Global Goals World Cup, with @nikolajcw as our referee, to raise awareness for the SDGs last year. ⚽️⚽️⚽️ #ggwcup https://t.co/cy1kV58cqJ",True,,,,17,,,,en
Tue Jun 26 11:47:31 +0000 2018,1011576689590226945,"RT @unwomenEU: “IKEA Group is committed to going all in on gender equality!” @SariBrody
Find out how the @WEPrinciples can be a game-change…",False,,,,0,,,,en
Tue Jun 26 10:35:05 +0000 2018,1011558462050979840,"Will you take a stand with @JahaENDFGM to end harmful practices against women &amp; girls? Together, we can make it happen. Once and for all. https://t.co/uhYLwaN0ae",True,,,,148,,,,en
Tue Jun 26 07:35:05 +0000 2018,1011513162993229824,Rural women are not asking for aid. They want equal rights &amp; opportunities to build sustainable lives. They want gender equality: https://t.co/2KT97TEFBs https://t.co/JlAJpwPbKZ,True,,,,129,,,,en
Tue Jun 26 04:35:03 +0000 2018,1011467856905756672,"Beyond food &amp; shelter, refugee women need psychosocial therapy to overcome the severe trauma they have experienced from fleeing violence. 

That's why we set up therapy groups in refugee settlements: https://t.co/gZVhomS8L6",True,,,,89,,,,en
Tue Jun 26 02:40:15 +0000 2018,1011438964430000128,The #TimeIsNow for gender equality. https://t.co/RA4NdWohKU,False,,,,620,,,,en
Tue Jun 26 00:35:05 +0000 2018,1011407466448457728,"E. Wilkins Nah is a public prosecutor, working to end impunity &amp; ensure justice for survivors of sexual &amp; gender-based violence in post-conflict Liberia:  https://t.co/Ixidj9Zkx4 https://t.co/WACuQBhpiG",True,,,,42,,,,en
Mon Jun 25 22:36:11 +0000 2018,1011377543813844992,"It's a #GoodDayAtSea when you make history as the first Latin American woman to cross the Atlantic Ocean solo. On the Day of the Seafarer, meet Galia Moss, a Mexican born-sailor ⛵ https://t.co/OvrBfELuaP",True,,,,89,,,,en
Mon Jun 25 21:06:52 +0000 2018,1011355066127802371,"RT @FAO: When you empower a woman, you empower a whole community. 

Joyce shows us how. 

📽️ Watch to learn her story 👇 https://t.co/fOdy9P…",False,,,,0,,,,en
Mon Jun 25 20:35:06 +0000 2018,1011347073642516480,"If you're in NYC and a fan of stand-up comedy, join us this Thursday for 'Comedy for Equality', an event bringing together activists and comedians, with a special performance by the amazing @aparnapkin. 

RSVP info here: https://t.co/V2T56KR0y9 https://t.co/dnurGns2mo",True,,,,26,,,,en
Mon Jun 25 19:35:08 +0000 2018,1011331980905058306,"We are the United Nations standing together for gender equality.

We are #HeForShe.

Find out more &amp; join the movement: https://t.co/bblJazIQ6A @HeForShe https://t.co/5A75p2gXxR",True,,,,55,,,,en
Mon Jun 25 17:39:24 +0000 2018,1011302855863623680,RT @UNHumanRights: Immediate actions must be taken to stop a backlash threatening to undermine #WomensRights around the globe – UN #HumanRi…,False,,,,0,,,,en
