created_at,id,text,retweet_count,favorite_count,original_retweet_count,original_favorite
Mon Jun 11 23:53:56 +0000 2018,1006323679737798656,"It is estimated that if the world stays on its current greenhouse gas emissions path, rising fine dust levels could increase premature deaths by 130% and triple hospitalizations due to fine dust exposure in this region.

#ActOnClimate #ClimateChange  https://t.co/AsUotTdzXW",0,0,92.0,53.0
Mon Jun 11 23:53:56 +0000 2018,1006323679687577600,"Going up: Global temperatures since 1880 https://t.co/jjAklEbvxw #axiosscience
#climatechange https://t.co/5jskigQUVK",0,0,9.0,7.0
Mon Jun 11 23:53:45 +0000 2018,1006323634426834944,"Local climate impacts are, unfortunately, becoming common in Oregon. “It’s likely #climatechange will impact how many blooms we see, the length of time that they’re in place,"" says Rebecca Hillwig with @OHAOregon's Algae Bloom Surveillance Program. https://t.co/1bZsPPeXls",0,0,2.0,4.0
Mon Jun 11 23:53:17 +0000 2018,1006323514201313281,"Australia is investing $250 million in #Indigenous Rangers to manage lands, sustain wildlife and combat #climatechange. “It’s time for Canada to demonstrate the same leadership” says @valeriecourtois #biodiversity #conservation https://t.co/rovvhG9xnA",0,0,3.0,6.0
Mon Jun 11 23:53:14 +0000 2018,1006323505497927680,"Will you recruit three others to sign the @change petition to tell the Big Banks to stop funding climate change with their customers’ deposits? (Signing takes about two seconds.) #MoveToGreen #ClimateChange #GlobalWarming
https://t.co/pkQj6WCBo8 https://t.co/hVoplyGXih",0,0,2.0,4.0
Mon Jun 11 23:53:09 +0000 2018,1006323481984806912,SCOTUS decision puts Washington state on the hook for culverts in treaty rights case - Pacific Northwest Inlander (blog) https://t.co/QbSEJ4JEZP #arctic #climatechange,0,0,,
Mon Jun 11 23:53:04 +0000 2018,1006323463303434241,The world's top 10 battles for #environmentaljustice. Together we can ensure #CleanAir &amp; #CleanWater becomes a #HumanRight for everyone. https://t.co/NE8WqH80yf #science via @CosmosMagazine #PlasticPollution #CoalAsh #KeepItInTheGround #ClimateChange #FoodJustice @HipHopCaucus,0,0,42.0,63.0
Mon Jun 11 23:53:04 +0000 2018,1006323463303434241,The world's top 10 battles for #environmentaljustice. Together we can ensure #CleanAir &amp; #CleanWater becomes a #HumanRight for everyone. https://t.co/NE8WqH80yf #science via @CosmosMagazine #PlasticPollution #CoalAsh #KeepItInTheGround #ClimateChange #FoodJustice @HipHopCaucus,0,0,42.0,63.0
Wed Jun 13 20:59:51 +0000 2018,1007004644407513088,"“To usher in a new way of living, the core dynamic of ever-greater production and consumption of goods and resources must be broken, coupled with a societal focus on environmental repair.”

#ActOnClimate #ClimateChange https://t.co/nLYwmTPl2S",0,0,194.0,207.0
Wed Jun 13 20:59:50 +0000 2018,1007004643346518016,"Couldn't disagree more w/@nationalgridus execs. A faster transition to renewable energy creates good jobs, strengthens our economy and helps us protect our kids from #climatechange. I'll vote for it tomorrow and fight for it in Congress. #ma3 #mapoli https://t.co/ILwSBnreuo",0,0,4.0,6.0
